Date : 2021-03-09 14:41:44
Directory : c:\Users\crook\Documents\Algonex\Algonex_Code
Total : 184 files,  51226 codes, 538 comments, 1268 blanks, all 53032 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| front-end\src\_components\Icons                                                                                        |          3 |        124 |          0 |          8 |        132 |
| front-end\src\_components\Modal                                                                                        |          2 |        111 |          0 |         12 |        123 |
| front-end\src\_components\Placeholders                                                                                 |          3 |         25 |          0 |          9 |         34 |
| front-end\src\_constants                                                                                               |          6 |         61 |          0 |         14 |         75 |
| front-end\src\_helpers                                                                                                 |          5 |         53 |          1 |         10 |         64 |
| front-end\src\_reducers                                                                                                |          7 |        363 |         32 |         46 |        441 |
| front-end\src\_services                                                                                                |          4 |        413 |         21 |         45 |        479 |
| front-end\src\types                                                                                                    |          4 |         16 |          0 |          1 |         17 |
| types                                                                                                                  |          5 |        175 |          0 |         20 |        195 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                               | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\crook\Documents\Algonex\Algonex_Code\README.md                                                                | Markdown         |          2 |          0 |          1 |          3 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\config.json                                                     | JSON             |          4 |          0 |          1 |          5 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\exchangeDataDetailed.ts                                         | TypeScript       |         70 |          0 |          2 |         72 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\package-lock.json                                               | JSON             |      2,415 |          0 |          1 |      2,416 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\package.json                                                    | JSON             |         41 |          0 |          1 |         42 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\_helpers\ccxt.service.ts                                    | TypeScript       |         68 |          0 |         12 |         80 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\_helpers\db.ts                                              | TypeScript       |         23 |          0 |          3 |         26 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\_helpers\error-handler.ts                                   | TypeScript       |         14 |          4 |          4 |         22 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\_helpers\jwt.ts                                             | TypeScript       |         21 |          2 |          5 |         28 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\coindata\coindata.controller.ts                             | TypeScript       |         22 |          1 |          4 |         27 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\coindata\coindata.model.ts                                  | TypeScript       |        125 |          0 |         15 |        140 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\coindata\coindata.service.ts                                | TypeScript       |         94 |          0 |         20 |        114 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\coindata\historical.model.ts                                | TypeScript       |         71 |         56 |         19 |        146 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\coindata\historical.service.ts                              | TypeScript       |        140 |          0 |         26 |        166 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\exchanges\exchange.model.ts                                 | TypeScript       |        122 |          0 |         14 |        136 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\exchanges\exchange.service.ts                               | TypeScript       |        640 |         39 |        121 |        800 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\exchanges\exchanges.controller.ts                           | TypeScript       |         55 |          1 |         10 |         66 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\portfolios\portfolio.model.ts                               | TypeScript       |         81 |          8 |         13 |        102 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\portfolios\portfolios.controller.ts                         | TypeScript       |        125 |          1 |         17 |        143 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\portfolios\portfolios.service.ts                            | TypeScript       |        212 |          3 |         41 |        256 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\resources\XRPUSD.json                                       | JSON             |     25,596 |          0 |          0 |     25,596 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\server.ts                                                   | TypeScript       |         27 |          4 |          6 |         37 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\transactions\order.model.ts                                 | TypeScript       |         58 |          2 |         10 |         70 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\transactions\transaction.model.ts                           | TypeScript       |         97 |          2 |         14 |        113 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\transactions\transactionView.ts                             | TypeScript       |        161 |          1 |         26 |        188 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\transactions\transactions.controller.ts                     | TypeScript       |         25 |          1 |          5 |         31 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\transactions\transactions.service.ts                        | TypeScript       |         56 |          0 |         13 |         69 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\users\user.model.ts                                         | TypeScript       |         30 |          0 |          5 |         35 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\users\user.service.ts                                       | TypeScript       |         60 |          6 |         15 |         81 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\src\users\users.controller.ts                                   | TypeScript       |         35 |         17 |          9 |         61 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\back-end\tsconfig.json                                                   | JSON             |         17 |          4 |          1 |         22 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\metapoirtfolioData.json                                        | JSON             |        106 |          0 |          1 |        107 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\package-lock.json                                              | JSON             |     14,031 |          0 |          1 |     14,032 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\package.json                                                   | JSON             |        112 |          0 |          1 |        113 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\Animations.tsx                               | TypeScript React |         62 |          0 |          4 |         66 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\GeneralStyles.tsx                            | TypeScript React |        129 |          0 |          8 |        137 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\IconStyles.ts                                | TypeScript       |          9 |          0 |          2 |         11 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\ResponsiveDesign.ts                          | TypeScript       |         44 |          0 |          1 |         45 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\TabularStyles.ts                             | TypeScript       |         62 |          0 |          9 |         71 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\Theme.ts                                     | TypeScript       |         12 |          0 |          2 |         14 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\index.js                                     | JavaScript       |          4 |          0 |          1 |          5 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\AlgonexStyles\variables.scss                               | SCSS             |         25 |          1 |          2 |         28 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\App\App.scss                                               | SCSS             |         17 |          0 |          1 |         18 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\App\App.tsx                                                | TypeScript React |         38 |          0 |          4 |         42 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\App\appStyles.ts                                           | TypeScript       |          4 |          0 |          2 |          6 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\App\index.js                                               | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Application\Application.tsx                                | TypeScript React |         73 |          0 |          7 |         80 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Application\Styles.ts                                      | TypeScript       |         43 |          0 |          4 |         47 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Application\index.js                                       | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Bots\Bots.tsx                                              | TypeScript React |         10 |          0 |          6 |         16 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Bots\Styles.ts                                             | TypeScript       |          1 |          0 |          2 |          3 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Bots\index.js                                              | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\Chart.jsx                                           | JavaScript React |         53 |          4 |         12 |         69 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\Chart.scss                                          | SCSS             |          9 |          0 |          1 |         10 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\Test.jsx                                            | JavaScript React |         48 |          0 |          7 |         55 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\index.js                                            | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Charts\test2.jsx                                           | JavaScript React |        248 |        133 |         26 |        407 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Dashboard\Dashboard.tsx                                    | TypeScript React |         41 |          4 |          4 |         49 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Dashboard\Styles.ts                                        | TypeScript       |         23 |          0 |          3 |         26 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Dashboard\index.js                                         | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\AddNewPopup\AddExchangeForm.tsx                  | TypeScript React |        130 |          0 |         17 |        147 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\AddNewPopup\AddNew.tsx                           | TypeScript React |        137 |          0 |         19 |        156 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\AddNewPopup\AddNewSelector.tsx                   | TypeScript React |         89 |          0 |         10 |         99 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\AddNewPopup\Style.ts                             | TypeScript       |         11 |          0 |          2 |         13 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\ExchangeStyles.ts                                | TypeScript       |         51 |          0 |         11 |         62 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\Forms\EditExchangeForm.tsx                       | TypeScript React |        155 |          0 |         22 |        177 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\Forms\ExchangeFormStyles.ts                      | TypeScript       |          7 |          0 |          2 |          9 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\Forms\index.js                                   | JavaScript       |          2 |          0 |          0 |          2 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\ListCurrent.tsx                                  | TypeScript React |         78 |          0 |         12 |         90 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\MyExchangeLineItem.tsx                           | TypeScript React |        125 |          0 |         16 |        141 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Exchanges\index.js                                         | JavaScript       |          4 |          0 |          1 |          5 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Hooks\UseEventListener.tsx                                 | TypeScript React |         27 |          6 |          1 |         34 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Hooks\index.js                                             | JavaScript       |          2 |          0 |          0 |          2 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Hooks\useCheckCurrentLocation.tsx                          | TypeScript React |         11 |          0 |          6 |         17 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\BottomNav\BottomNav.tsx                                | TypeScript React |         72 |          0 |          8 |         80 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\BottomNav\Styles.ts                                    | TypeScript       |         12 |          0 |          1 |         13 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\BottomNav\index.js                                     | JavaScript       |          1 |          0 |          1 |          2 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\Sidebar\ActionItem\ActionItem.tsx                      | TypeScript React |        111 |          0 |         15 |        126 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\Sidebar\ActionItem\Styles.ts                           | TypeScript       |         85 |          0 |          9 |         94 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\Sidebar\SidebarNav.tsx                                 | TypeScript React |         76 |          1 |         14 |         91 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\Sidebar\Styles.ts                                      | TypeScript       |         38 |          0 |          5 |         43 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\Sidebar\index.js                                       | JavaScript       |          1 |          0 |          1 |          2 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\Desktop\Styles.ts                               | TypeScript       |         54 |          0 |          9 |         63 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\Desktop\TopNav.tsx                              | TypeScript React |        116 |          0 |         11 |        127 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\Desktop\index.js                                | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\Mobile\Styles.ts                                | TypeScript       |         54 |          0 |          9 |         63 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\Mobile\TopNav.tsx                               | TypeScript React |        134 |          0 |         16 |        150 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\Mobile\index.js                                 | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\TopNav\index.js                                        | JavaScript       |          2 |          0 |          1 |          3 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Nav\index.js                                               | JavaScript       |          3 |          0 |          1 |          4 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Charts\Charts.tsx                                | TypeScript React |         43 |          0 |          9 |         52 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Charts\Styles.ts                                 | TypeScript       |         20 |          0 |          3 |         23 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Charts\index.js                                  | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Holdings\HoldingItem\HoldingItem.tsx             | TypeScript React |         86 |          0 |          8 |         94 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Holdings\Holdings.tsx                            | TypeScript React |         59 |          0 |          7 |         66 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Holdings\index.js                                | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\MetaPortfolio\MetaPortfolio.tsx                  | TypeScript React |        201 |          2 |         25 |        228 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\MetaPortfolio\Styles.ts                          | TypeScript       |         80 |          1 |         13 |         94 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\MetaPortfolio\index.js                           | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\OpenOrders\OpenOrderItem\OpenOrderItem.tsx       | TypeScript React |        139 |          0 |         13 |        152 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\OpenOrders\OpenOrders.tsx                        | TypeScript React |         26 |          0 |          5 |         31 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\OpenOrders\index.js                              | JavaScript       |          1 |          0 |          1 |          2 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Portfolio.tsx                                    | TypeScript React |         84 |          0 |         13 |         97 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\PortfolioFilter\Filter.tsx                       | TypeScript React |        168 |         60 |         17 |        245 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\PortfolioFilter\Styles.ts                        | TypeScript       |         39 |          0 |          6 |         45 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\PortfolioFilter\index.js                         | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Styles.ts                                        | TypeScript       |          7 |          0 |          1 |          8 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Transactions\TransactionItem\TransactionItem.tsx | TypeScript React |        152 |          0 |         15 |        167 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Transactions\Transactions.tsx                    | TypeScript React |         27 |          0 |          8 |         35 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\Transactions\index.js                            | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Portfolio\index.js                                         | JavaScript       |          6 |          0 |          0 |          6 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\RegisterPage\LoginPage.tsx                                 | TypeScript React |         99 |          0 |          7 |        106 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\RegisterPage\RegisterPage.tsx                              | TypeScript React |        183 |          0 |         16 |        199 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\RegisterPage\RegistrationStyles.ts                         | TypeScript       |         12 |          0 |          5 |         17 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\RegisterPage\index.js                                      | JavaScript       |          2 |          0 |          1 |          3 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Settings\Settings.tsx                                      | TypeScript React |         10 |          0 |          6 |         16 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Settings\Styles.ts                                         | TypeScript       |          1 |          0 |          2 |          3 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Settings\index.js                                          | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Trade\Styles.ts                                            | TypeScript       |          1 |          0 |          2 |          3 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Trade\Trade.tsx                                            | TypeScript React |         10 |          0 |          6 |         16 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\Trade\index.js                                             | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_actions\alert.actions.ts                                  | TypeScript       |         15 |          0 |          4 |         19 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_actions\applicationView.actions.ts                        | TypeScript       |         29 |          0 |          4 |         33 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_actions\exchange.actions.ts                               | TypeScript       |        127 |          0 |         16 |        143 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_actions\index.js                                          | JavaScript       |          4 |          0 |          1 |          5 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_actions\portfolio.actions.ts                              | TypeScript       |         95 |         23 |         12 |        130 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_actions\user.actions.ts                                   | TypeScript       |         65 |         28 |         14 |        107 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Alert\Alert.tsx                                | TypeScript React |         44 |          0 |          3 |         47 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Alert\AlertStyles.ts                           | TypeScript       |         32 |          0 |          5 |         37 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Charts\Pie\PieChart.scss                       | SCSS             |         28 |          0 |          2 |         30 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Charts\Pie\PieChart.tsx                        | TypeScript React |         70 |          0 |         12 |         82 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Charts\TimeSeries\PortfolioLineChart.scss      | SCSS             |         36 |          1 |          0 |         37 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Charts\TimeSeries\PortfolioLineChart.tsx       | TypeScript React |        252 |         22 |         39 |        313 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Charts\TimeSeries\TestChart.tsx                | TypeScript React |         76 |         42 |         11 |        129 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Charts\index.js                                | JavaScript       |          2 |          0 |          0 |          2 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Dropdown\Dropdown.tsx                          | TypeScript React |         41 |          1 |          5 |         47 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Dropdown\DropdownStyles.ts                     | TypeScript       |         29 |          0 |          4 |         33 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\ErrorBoundary.tsx                              | TypeScript React |         24 |          3 |          6 |         33 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Icons\Icons.tsx                                | TypeScript React |         38 |          0 |          2 |         40 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Icons\TransactionTypeIcons.tsx                 | TypeScript React |         84 |          0 |          6 |         90 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Icons\index.js                                 | JavaScript       |          2 |          0 |          0 |          2 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Modal\Modal.tsx                                | TypeScript React |         63 |          0 |          7 |         70 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Modal\Styles.ts                                | TypeScript       |         48 |          0 |          5 |         53 |
| c:\Users\crook\Documents\Algonex\Algonex_Code\front-end\src\_components\Placeholders\DashboardNoExchanges.tsx          | TypeScript React |         18 |          0 |          7 |         25 |
